N_train,hidden_dims,reg,ae_params,ae_loss,recon_mse,drift_loss,diff_loss,MTE@1.0,W2@1.0,MMD@1.0
20,"[64, 64]",T+F,9093,0.01886598952114582,0.014716843143105507,0.03195180743932724,0.5764876008033752,1.135150186376634,0.9047356951764116,0.19301412999629974
20,"[64, 64]",T+F+K,9093,0.12355867028236389,0.027355408295989037,0.031784407794475555,0.7093876600265503,1.3745366514118669,1.2105280958402274,0.22290802001953125
20,"[128, 128]",T+F,34565,0.045451316982507706,0.014300993643701077,0.018868714570999146,1.290342926979065,0.9207974103541156,0.7657898634631934,0.1552596092224121
20,"[128, 128]",T+F+K,34565,0.20491290092468262,0.044784415513277054,0.05121671035885811,0.8338766098022461,2.2699237898284315,1.248339172507676,0.25288301706314087
20,"[128, 128, 128]",T+F,67589,0.1642715036869049,0.05936649069190025,0.0366722010076046,0.8884158134460449,1.9960823807061887,0.9211798205170953,0.20862498879432678
20,"[128, 128, 128]",T+F+K,67589,0.2627287209033966,0.021307891234755516,0.025833209976553917,1.524045705795288,2.1160757027420343,1.1081814622025399,0.2134663313627243
20,"[256, 256]",T+F,134661,0.08392273634672165,0.04588398337364197,0.014865189790725708,1.5991853475570679,0.8694711323657067,0.7430599948753389,0.1497642993927002
20,"[256, 256]",T+F+K,134661,0.1826600879430771,0.11568489670753479,0.039049189537763596,0.24124319851398468,1.2185413634854985,1.3268702669524601,0.2621508836746216
200,"[64, 64]",T+F,9093,0.0011852073366753757,0.00021388423920143396,0.000698741413153974,0.013347080376531397,1.1672405168121935,1.1864523031475263,0.17405258119106293
200,"[64, 64]",T+F+K,9093,0.00048755114299378226,8.417001663474366e-05,0.0006178741958657545,0.02019632368215493,1.297201518139808,1.408680333865949,0.1817397028207779
200,"[128, 128]",T+F,34565,0.0004590868775267154,0.00014669880329165608,0.0009053759858943522,0.016719172841736248,1.1634475608277166,1.169270372720188,0.17497679591178894
200,"[128, 128]",T+F+K,34565,0.004655406178374376,0.0006366600282490253,0.0012775958582226718,0.008758074337882655,1.988086575776144,1.251312372362122,0.17265421152114868
200,"[128, 128, 128]",T+F,67589,0.0031060445388512953,0.000331768678734079,0.002209107325013195,0.01616459965173687,2.2257345361647265,1.1187936203210593,0.197562113404274
200,"[128, 128, 128]",T+F+K,67589,0.004493122870501663,0.00029026303673163056,0.0004253095456598593,0.01753651736570256,2.0630846210554536,1.1823377055556055,0.19979415833950043
200,"[256, 256]",T+F,134661,0.008625814957278115,0.003603473538532853,0.0017848213236512883,0.013357151698853289,1.9398049747242647,1.0097446700703583,0.13283000886440277
200,"[256, 256]",T+F+K,134661,0.009245081272508417,0.01601606421172619,0.001288454480735319,0.008947479937757765,1.8276431015114378,1.094596613565899,0.16617029905319214
