N,K_weight,reg,recon_mse,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
20,0.0,T+F,0.015150879509747028,0.03195180743932724,0.5764876008033752,0.3091078567504883,0.718459004941194,1.135150186376634,0.9047356951764116,0.19301412999629974,0.7649999856948853
20,0.01,T+F+K(0.01),0.01682022213935852,0.030583754181861877,0.30736979842185974,0.31288532257080076,0.733403496120287,1.1511116775811887,0.9089561871737721,0.1854112595319748,0.7649999856948853
20,0.05,T+F+K(0.05),0.011035090312361717,0.021891778334975243,0.31039959192276,0.29713130950927735,0.7317262732464335,1.1790285796121833,0.9552240074601048,0.18052610754966736,0.7649999856948853
20,0.1,T+F+K(0.1),0.031802721321582794,0.07388868182897568,1.7199064493179321,0.32683769226074216,0.6876689662104067,1.0729224510442197,0.7791568198674436,0.16702288389205933,0.7649999856948853
20,0.3,T+F+K(0.3),0.044663719832897186,0.15504299104213715,4.984869480133057,0.3286594772338867,0.6991854957912279,1.0207039826835682,0.8054619519392817,0.1465758979320526,0.7649999856948853
20,0.5,T+F+K(0.5),0.06592761725187302,0.12957675755023956,5.470217227935791,0.3563277435302734,0.7171651591425356,1.014637766320721,0.8150385019410643,0.1442323625087738,0.7649999856948853
20,1.0,T+F+K(1.0),0.02858670987188816,0.031784407794475555,0.7093876600265503,0.32608856201171876,0.8534603118896484,1.3745366514118669,1.2105280958402274,0.22290802001953125,0.7649999856948853
200,0.0,T+F,0.0002021195978159085,0.000698741413153974,0.013347080376531397,0.28653688430786134,0.734322921089504,1.1672405168121935,1.1864523031475263,0.17405258119106293,0.7649999856948853
200,0.01,T+F+K(0.01),0.00013730020145885646,0.0006430863161637847,0.014810945173459393,0.2867110252380371,0.7422742428986923,1.1890921000561683,1.2407789733213241,0.17712700366973877,0.7649999856948853
200,0.05,T+F+K(0.05),2.44619350269204e-05,0.0006720296223647892,0.015350381710699626,0.2859075927734375,0.7383081187372622,1.1803760403901145,1.2460404431135068,0.17523446679115295,0.7649999856948853
200,0.1,T+F+K(0.1),4.81457136629615e-05,0.0008249893393700144,0.016005531884729862,0.2862329864501953,0.736026266346807,1.1721737930198122,1.2011757870857778,0.17294429242610931,0.7649999856948853
200,0.3,T+F+K(0.3),7.6025571615900844e-06,0.0006739167313623641,0.014657470397651196,0.2839046096801758,0.7357990430748981,1.1902278326695261,1.3551119826391487,0.17829354107379913,0.7649999856948853
200,0.5,T+F+K(0.5),8.979447738965973e-05,0.0006747660809196532,0.01588360606027501,0.28525070190429686,0.7424999734629756,1.19632725933798,1.378760806723368,0.176591157913208,0.7649999856948853
200,1.0,T+F+K(1.0),7.965980330482125e-05,0.0006178741958657545,0.02019632368215493,0.2967898178100586,0.8047634622325068,1.297201518139808,1.408680333865949,0.1817397028207779,0.7649999856948853
